Player,;5000,;5000,;0,;0,;b,;y,;1,;0,;
0,;Los,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,;
1,;Bahnhof,;b,;500,;1,;10,;20,;30,;40,;50,;60,;0,;100,;110,;120,;130,;
1,;Marktplatz,;g,;1000,;500,;120,;130,;140,;150,;360,;478,;0,;100,;110,;120,;130,;
1,;FrontenhStrasse,;g,;1000,;500,;120,;130,;140,;150,;360,;478,;0,;100,;110,;120,;130,;
1,;Frontenhausener Strasse,;y,;3000,;0,;0,;0,;0,;0,;0,;0,;0,;100,;110,;120,;130,;
1,;Aktionskarte,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,;
1,;Frontenhausener Strasse,;b,;3000,;0,;0,;0,;0,;0,;0,;0,;0,;100,;110,;120,;130,;
1,;Frontenhausener Strasse,;b,;3000,;0,;0,;0,;0,;0,;0,;0,;0,;100,;110,;120,;130,;
1,;Frontenhausener Strasse,;p,;3000,;0,;0,;0,;0,;0,;0,;0,;0,;100,;110,;120,;130,;
1,;Frontenhausener Strasse,;p,;3000,;0,;0,;0,;0,;0,;0,;0,;0,;100,;110,;120,;130,;
1,;Frontenhausener Strasse,;r,;3000,;0,;0,;0,;0,;0,;0,;0,;0,;100,;110,;120,;130,;
1,;Aktionskarte,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,;
1,;Frontenhausener Strasse,;p,;3000,;0,;0,;0,;0,;0,;0,;0,;0,; 100,;110,;120,;130,;
1,;Frontenhausener Strasse,; ,; ,; ,; ,; ,; ,; ,; ,; ,; ,; 100,;110,;120,;130,;
